date,usd_idr,target,target_ret,ret_1,ret_lag1,ret_lag2,ret_lag3,ret_lag4,ret_5,ret_20,vol_5,vol_20,z_20,gap_days,jumlah_berita
2021-11-23,14272,0,0.0,0.0011918534730188668,0.0012635127330273832,0.0004215259300845986,-0.00196560259845846,0.0033719736902568798,0.004283263227929268,0.007525442555174067,0.0019208848614836464,0.002842893531964782,0.4481467907395811,1.0,14
2021-11-24,14272,1,0.0005603810737841997,0.0,0.0011918534730188668,0.0012635127330273832,0.0004215259300845986,-0.00196560259845846,0.0009112895376723884,0.006185007065747428,0.0013126468573245028,0.0028347557251926364,0.3757625741513949,1.0,11
2021-11-25,14280,0,0.0,0.0005603810737841997,0.0,0.0011918534730188668,0.0012635127330273832,0.0004215259300845986,0.0034372732099150483,0.005688417319218431,0.0005351917323115956,0.002830032648890024,0.47926017844193314,1.0,1
2021-11-26,14280,1,0.0041928782600351155,0.0,0.0005603810737841997,0.0,0.0011918534730188668,0.0012635127330273832,0.0030157472798304497,0.007662334068704979,0.0006148291926145117,0.0027811262406181314,0.4009083419063431,1.0,9
2021-11-29,14340,0,-0.001395673638974415,0.0041928782600351155,0.0,0.0005603810737841997,0.0,0.0011918534730188668,0.005945112806838182,0.007349114441472793,0.0017497068679689961,0.002757468367027692,1.6788103730065338,3.0,7
2021-11-30,14320,1,0.0023018180567433433,-0.001395673638974415,0.0041928782600351155,0.0,0.0005603810737841997,0.0,0.0033575856948449,0.00412862277786985,0.0020968716948238215,0.00276191339133164,1.0949388687105501,1.0,11
2021-12-01,14353,1,0.0017402809724380575,0.0023018180567433433,-0.001395673638974415,0.0041928782600351155,0.0,0.0005603810737841997,0.005659403751588243,0.0036295146984439697,0.00216418322696521,0.002739399978904177,1.6710631738611734,1.0,9
2021-12-02,14378,1,0.0020843473119747102,0.0017402809724380575,0.0023018180567433433,-0.001395673638974415,0.0041928782600351155,0.0,0.006839303650242101,0.0035533916504455476,0.0021505733163124114,0.0027370607186868626,1.974942834221713,1.0,9
2021-12-03,14408,1,0.0022877752707728405,0.0020843473119747102,0.0017402809724380575,0.0023018180567433433,-0.001395673638974415,0.0041928782600351155,0.008923650962216811,0.002362588827404366,0.002017007167638754,0.002678458509945991,2.354928018494426,1.0,7
2021-12-06,14441,0,-0.0022877752707728405,0.0022877752707728405,0.0020843473119747102,0.0017402809724380575,0.0023018180567433433,-0.001395673638974415,0.007018547972954536,0.012052115647783523,0.0015812388665751005,0.002049044272812796,2.3402565856313147,3.0,28
2021-12-07,14408,0,-0.0041730482036186345,-0.0022877752707728405,0.0022877752707728405,0.0020843473119747102,0.0017402809724380575,0.0023018180567433433,0.006126446341156111,0.012220395785167426,0.001976904801148902,0.0020361282227575397,1.607044496260015,1.0,13
2021-12-08,14348,1,0.0002090665187584051,-0.0041730482036186345,-0.0022877752707728405,0.0022877752707728405,0.0020843473119747102,0.0017402809724380575,-0.0003484199192058668,0.006643148797142118,0.002967783894625351,0.0022881092412104396,0.6707469269926862,1.0,12
2021-12-09,14351,1,0.0018796343728855192,0.0002090665187584051,-0.0041730482036186345,-0.0022877752707728405,0.0022877752707728405,0.0020843473119747102,-0.0018796343728855192,0.004399602054650842,0.0028090821516956214,0.002233012804069541,0.6611332870578625,1.0,11
2021-12-10,14378,0,-0.002228102857438685,0.0018796343728855192,0.0002090665187584051,-0.0041730482036186345,-0.0022877752707728405,0.0022877752707728405,-0.0020843473119747102,0.00943370260923082,0.002765411186896781,0.0021131298018504815,0.9465970899643988,1.0,11
2021-12-13,14346,1,0.00013940196579476094,-0.002228102857438685,0.0018796343728855192,0.0002090665187584051,-0.0041730482036186345,-0.0022877752707728405,-0.006600225440186236,0.009806747128623172,0.0023704866776335753,0.0020860518119539197,0.41718295238576475,3.0,14
2021-12-14,14348,0,-0.0007669514059056581,0.00013940196579476094,-0.002228102857438685,0.0018796343728855192,0.0002090665187584051,-0.0041730482036186345,-0.0041730482036186345,0.009594247060311645,0.002371290496974809,0.0020873347974586193,0.37069067104122616,1.0,10
2021-12-15,14337,1,0.00041841004794562764,-0.0007669514059056581,0.00013940196579476094,-0.002228102857438685,0.0018796343728855192,0.0002090665187584051,-0.0007669514059056581,0.005455321964149107,0.0015025961702673893,0.001988318840447288,0.13218474788931284,1.0,3
2021-12-16,14343,0,0.0,0.00041841004794562764,-0.0007669514059056581,0.00013940196579476094,-0.002228102857438685,0.0018796343728855192,-0.0005576078767184356,0.007839334610553195,0.0015180577019281456,0.0019172563502272285,0.1507033724267064,1.0,10
2021-12-17,14343,1,0.0028544594171879822,0.0,0.00041841004794562764,-0.0007669514059056581,0.00013940196579476094,-0.002228102857438685,-0.0024372422496039547,0.007417808680468596,0.0010676055828330857,0.0019192301952293466,0.05938192890458594,1.0,3
2021-12-20,14384,0,-0.0024362243629951763,0.0028544594171879822,0.0,0.00041841004794562764,-0.0007669514059056581,0.00013940196579476094,0.0026453200250227127,0.009008755364629195,0.001372143331864959,0.001989845683797024,0.8096679780678023,3.0,11
2021-12-21,14349,0,-0.005941372805429168,-0.0024362243629951763,0.0028544594171879822,0.0,0.00041841004794562764,-0.0007669514059056581,6.969369623277544e-05,0.005380677528615152,0.0019264888850060887,0.002081942471455203,-0.0314916130218485,1.0,7
2021-12-22,14264,0,-0.0009118008697655,-0.005941372805429168,-0.0024362243629951763,0.0028544594171879822,0.0,0.00041841004794562764,-0.0051047277032907346,-0.0005606952768140161,0.003329656758120526,0.00250354465572841,-1.9682616045910424,1.0,4
2021-12-23,14251,0,-0.002247981276838118,-0.0009118008697655,-0.005941372805429168,-0.0024362243629951763,0.0028544594171879822,0.0,-0.006434938621001862,-0.0020328772203637158,0.003237774403012451,0.0025069736879517685,-2.096665746585302,1.0,12
2021-12-24,14219,1,0.0004218815981573698,-0.002247981276838118,-0.0009118008697655,-0.005941372805429168,-0.0024362243629951763,0.0028544594171879822,-0.00868291989783998,-0.004280858497201834,0.0031697483962049907,0.002552163026951045,-2.394660556568722,1.0,2
2021-12-27,14225,1,0.0008432296192140143,0.0004218815981573698,-0.002247981276838118,-0.0009118008697655,-0.005941372805429168,-0.0024362243629951763,-0.011115497716870593,-0.00805185515907958,0.0023762905331196943,0.0023399236501768783,-1.9344804282221721,3.0,10
2021-12-28,14237,1,0.0019647750338549486,0.0008432296192140143,0.0004218815981573698,-0.002247981276838118,-0.0009118008697655,-0.005941372805429168,-0.007836043734661402,-0.00581295190089115,0.0027291489264737604,0.002343466173873677,-1.5519867358406814,1.0,5
2021-12-29,14265,1,0.0002803672829756465,0.0019647750338549486,0.0008432296192140143,0.0004218815981573698,-0.002247981276838118,-0.0009118008697655,7.010410462271466e-05,-0.006149994923779545,0.0016304277764797046,0.0023249811955436553,-1.013775166908243,1.0,5
2021-12-30,14269,1,0.0006305391318299769,0.0002803672829756465,0.0019647750338549486,0.0008432296192140143,0.0004218815981573698,-0.002247981276838118,0.0012622722573638612,-0.007609908613241956,0.001546182443251696,0.0022797833231109894,-0.8632406081056103,1.0,4
